LAT,,,,,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085,48.2085
LON,,,,,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721,16.3721
ASL,,,,,171.000,171.000,171.000,171.000,171.000,171.000,171.000,171.000,171.000
CITY,,,,,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna
DOMAIN,,,,,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4,NEMS4
LEVEL,,,,,2 m above gnd,2 m above gnd,MSL,sfc,sfc,sfc,sfc,10 m above gnd,10 m above gnd
NAME,,,,,Temperature,Relative Humidity,Mean Sea Level Pressure,Total Precipitation,Total Cloud Cover,Sunshine Duration,Shortwave Radiation,Wind Speed,Wind Direction
UNIT,,,,,°C,%,hPa,mm,%,min,W/m2,km/h,°
AGGREGATION,,,,,,,,,,,,,
UTC_OFFSET,,,,,1,1,1,1,1,1,1,1,1
Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd],Relative Humidity  [2 m above gnd],Mean Sea Level Pressure  [MSL],Total Precipitation  [sfc],Total Cloud Cover  [sfc],Sunshine Duration  [sfc],Shortwave Radiation  [sfc],Wind Speed  [10 m above gnd],Wind Direction  [10 m above gnd]
2018,10,25,00,00,6.50,72.00,1018.60,0.00,46.00,0.00,0.00,20.81,300.11
2018,10,25,01,00,6.83,72.00,1018.30,0.00,73.00,0.00,0.00,19.91,310.60
2018,10,25,02,00,6.66,74.00,1017.90,0.00,1.00,0.00,0.00,19.13,311.19
2018,10,25,03,00,7.15,76.00,1017.20,0.00,100.00,0.00,0.00,14.78,304.08
2018,10,25,04,00,9.03,72.00,1016.30,0.00,100.00,0.00,0.00,20.01,300.26
2018,10,25,05,00,8.96,76.00,1015.70,0.00,100.00,0.00,0.00,15.81,300.07
2018,10,25,06,00,8.68,86.00,1015.30,0.20,56.00,13.38,0.00,13.63,282.20
2018,10,25,07,00,9.67,82.00,1014.70,0.00,65.00,18.51,11.57,16.95,282.26
2018,10,25,08,00,11.37,77.00,1014.30,0.00,73.00,13.40,136.17,18.29,280.20
2018,10,25,09,00,13.42,72.00,1013.80,0.00,46.00,30.64,269.67,21.63,288.43
2018,10,25,10,00,15.40,65.00,1012.80,0.00,29.00,41.49,380.03,24.94,290.27
2018,10,25,11,00,16.85,60.00,1011.70,0.00,12.00,52.34,431.65,29.22,292.46
2018,10,25,12,00,17.32,51.00,1011.40,0.00,16.00,49.79,388.93,35.57,305.94
2018,10,25,13,00,17.72,52.00,1012.00,0.00,10.00,53.62,317.73,28.69,293.67
2018,10,25,14,00,17.65,49.00,1011.40,0.00,10.00,53.62,359.56,30.11,297.79
2018,10,25,15,00,17.60,49.00,1011.40,0.00,10.00,53.62,300.82,29.78,296.57
2018,10,25,16,00,16.98,51.00,1011.30,0.00,0.00,60.00,167.32,27.78,301.22
2018,10,25,17,00,15.67,51.00,1011.90,0.00,4.00,48.28,33.82,28.23,307.75
2018,10,25,18,00,14.89,52.00,1011.80,0.00,0.00,0.00,0.00,24.86,304.38
2018,10,25,19,00,13.71,57.00,1012.20,0.00,0.00,0.00,0.00,22.57,303.94
2018,10,25,20,00,12.93,62.00,1012.80,0.00,0.00,0.00,0.00,23.21,293.78
2018,10,25,21,00,12.25,66.00,1013.40,0.00,0.00,0.00,0.00,23.47,290.66
2018,10,25,22,00,11.64,71.00,1013.90,0.00,0.00,0.00,0.00,22.67,290.45
2018,10,25,23,00,11.22,73.00,1013.90,0.00,0.00,0.00,0.00,21.75,289.33
2018,10,26,00,00,10.72,73.00,1014.10,0.00,0.00,0.00,0.00,19.24,287.42
2018,10,26,01,00,10.10,76.00,1014.00,0.00,0.00,0.00,0.00,16.95,282.26
2018,10,26,02,00,9.62,79.00,1013.90,0.00,3.60,0.00,0.00,17.11,278.47
2018,10,26,03,00,9.40,80.00,1013.60,0.00,24.00,0.00,0.00,18.03,273.43
2018,10,26,04,00,9.49,80.00,1013.20,0.00,54.00,0.00,0.00,18.39,273.37
2018,10,26,05,00,9.41,80.00,1012.90,0.00,71.00,0.00,0.00,18.78,274.40
2018,10,26,06,00,9.18,81.00,1012.80,0.00,62.00,10.75,0.00,17.31,273.58
2018,10,26,07,00,9.39,80.00,1012.90,0.00,92.00,1.28,10.68,15.84,271.30
2018,10,26,08,00,11.22,73.00,1013.00,0.00,100.00,0.00,129.94,15.48,270.00
2018,10,26,09,00,12.82,67.00,1012.90,0.00,100.00,0.00,226.06,15.50,267.34
2018,10,26,10,00,14.09,61.00,1012.30,0.00,100.00,0.00,296.37,13.72,265.49
2018,10,26,11,00,15.30,55.00,1011.50,0.00,100.00,0.00,385.37,10.14,253.50
2018,10,26,12,00,16.33,51.00,1010.80,0.00,77.00,10.85,458.35,8.50,216.38
2018,10,26,13,00,16.45,56.00,1010.10,0.00,100.00,0.00,414.74,11.63,158.20
2018,10,26,14,00,17.13,56.00,1009.10,0.00,0.00,60.00,369.35,8.65,163.07
2018,10,26,15,00,17.37,56.00,1008.30,0.00,0.00,60.00,299.04,10.50,185.91
2018,10,26,16,00,17.01,58.00,1007.30,0.00,0.00,60.00,165.54,11.17,181.85
2018,10,26,17,00,16.50,61.00,1007.30,0.00,11.10,42.93,33.82,7.24,174.29
2018,10,26,18,00,15.88,65.00,1006.80,0.00,12.00,0.00,0.00,8.05,153.43
2018,10,26,19,00,14.04,75.00,1006.20,0.00,13.50,0.00,0.00,9.18,168.69
2018,10,26,20,00,12.55,83.00,1005.80,0.00,97.00,0.00,0.00,8.71,172.87
2018,10,26,21,00,11.47,89.00,1005.60,0.00,36.00,0.00,0.00,5.94,194.04
2018,10,26,22,00,11.14,88.00,1005.70,0.00,53.00,0.00,0.00,1.80,270.00
2018,10,26,23,00,10.57,91.00,1005.30,0.00,100.00,0.00,0.00,0.72,270.00
2018,10,27,00,00,10.59,90.00,1005.20,0.00,100.00,0.00,0.00,1.80,360.00
2018,10,27,01,00,10.23,92.00,1005.40,0.00,100.00,0.00,0.00,3.96,360.00
2018,10,27,02,00,10.58,89.00,1005.30,0.00,100.00,0.00,0.00,2.19,350.54
2018,10,27,03,00,10.53,88.00,1005.10,0.00,100.00,0.00,0.00,0.51,135.00
2018,10,27,04,00,10.14,89.00,1005.00,0.00,100.00,0.00,0.00,0.72,180.00
2018,10,27,05,00,11.18,79.00,1005.20,0.00,100.00,0.00,0.00,3.98,275.19
2018,10,27,06,00,12.21,71.00,1005.40,0.00,100.00,0.00,0.00,10.85,275.71
2018,10,27,07,00,11.51,71.00,1005.50,0.00,100.00,0.00,3.56,18.00,281.53
2018,10,27,08,00,11.89,68.00,1006.30,0.00,100.00,0.00,56.07,16.78,292.71
2018,10,27,09,00,12.50,67.00,1006.90,0.00,100.00,0.00,131.72,15.04,291.04
2018,10,27,10,00,12.50,66.00,1006.30,0.00,100.00,0.00,171.77,17.24,298.71
2018,10,27,11,00,12.40,66.00,1006.60,0.30,100.00,0.00,162.87,16.78,305.39
2018,10,27,12,00,12.34,67.00,1007.10,0.20,100.00,0.00,159.31,16.20,323.13
2018,10,27,13,00,12.68,70.00,1007.10,0.50,100.00,0.00,169.99,9.78,353.66
2018,10,27,14,00,12.83,72.00,1006.20,0.20,100.00,0.00,193.13,12.30,20.56
2018,10,27,15,00,12.34,76.00,1005.80,0.10,100.00,0.00,86.33,13.04,50.60
2018,10,27,16,00,11.74,76.00,1006.10,0.20,100.00,0.00,42.72,12.31,37.87
2018,10,27,17,00,11.19,78.00,1006.60,0.20,100.00,0.00,8.01,12.73,28.74
2018,10,27,18,00,10.67,82.00,1006.60,0.10,100.00,0.00,0.00,13.66,18.43
2018,10,27,19,00,10.16,81.00,1006.10,0.30,100.00,0.00,0.00,14.00,17.97
2018,10,27,20,00,9.81,81.00,1006.50,0.30,100.00,0.00,0.00,13.78,19.86
2018,10,27,21,00,9.56,82.00,1007.30,0.30,100.00,0.00,0.00,13.20,11.00
2018,10,27,22,00,9.44,85.00,1007.40,0.20,100.00,0.00,0.00,12.92,12.87
2018,10,27,23,00,9.22,84.00,1006.80,0.20,100.00,0.00,0.00,11.87,14.04
2018,10,28,00,00,9.18,83.00,1007.20,0.10,100.00,0.00,0.00,12.68,6.52
2018,10,28,01,00,9.12,84.00,1007.20,0.00,100.00,0.00,0.00,10.45,358.03
2018,10,28,02,00,9.13,85.00,1006.60,0.00,100.00,0.00,0.00,10.82,356.19
2018,10,28,03,00,9.20,85.00,1006.50,0.00,100.00,0.00,0.00,10.24,10.12
2018,10,28,04,00,9.18,86.00,1005.90,0.00,100.00,0.00,0.00,7.90,43.15
2018,10,28,05,00,9.12,87.00,1005.60,0.00,100.00,0.00,0.00,7.28,81.47
2018,10,28,06,00,8.92,88.00,1004.90,0.00,100.00,0.00,0.00,9.61,102.99
2018,10,28,07,00,8.79,89.00,1004.10,0.00,100.00,0.00,3.56,11.97,136.22
2018,10,28,08,00,9.22,86.00,1004.10,0.00,100.00,0.00,48.06,14.37,157.93
2018,10,28,09,00,10.81,81.00,1003.70,0.00,100.00,0.00,104.13,19.05,157.80
2018,10,28,10,00,12.27,79.00,1003.30,0.00,100.00,0.00,69.42,20.28,163.50
2018,10,28,11,00,14.23,74.00,1003.00,0.00,100.00,0.00,72.98,20.97,164.05
2018,10,28,12,00,17.03,67.00,1001.80,0.00,100.00,0.00,78.32,20.52,158.39
2018,10,28,13,00,16.12,67.00,1003.70,0.00,100.00,0.00,223.39,19.02,150.52
2018,10,28,14,00,17.11,67.00,1003.50,0.00,100.00,0.00,46.28,17.39,152.90
2018,10,28,15,00,18.93,62.00,1002.30,0.00,100.00,0.00,29.37,18.56,161.92
2018,10,28,16,00,19.80,57.00,1001.90,0.00,100.00,0.00,24.92,24.10,166.17
2018,10,28,17,00,19.50,58.00,1002.50,0.00,100.00,0.00,4.45,25.67,165.38
2018,10,28,18,00,18.93,62.00,1002.40,0.00,100.00,0.00,0.00,24.15,169.70
2018,10,28,19,00,18.50,66.00,1002.40,0.00,100.00,0.00,0.00,26.81,165.22
2018,10,28,20,00,17.65,73.00,1003.00,0.00,100.00,0.00,0.00,25.42,164.39
2018,10,28,21,00,17.40,74.00,1003.20,0.00,100.00,0.00,0.00,27.66,161.80
2018,10,28,22,00,17.03,78.00,1004.10,0.00,100.00,0.00,0.00,29.17,167.16
2018,10,28,23,00,16.57,83.00,1003.10,0.00,100.00,0.00,0.00,26.90,164.48
2018,10,29,00,00,16.37,83.00,1002.90,0.00,100.00,0.00,0.00,25.81,171.98
2018,10,29,01,00,16.39,81.00,1003.90,0.00,100.00,0.00,0.00,22.71,177.27
2018,10,29,02,00,16.12,81.00,1004.40,0.00,100.00,0.00,0.00,15.04,191.04
2018,10,29,03,00,15.46,82.00,1005.50,0.00,100.00,0.00,0.00,3.24,270.00
2018,10,29,04,00,13.44,84.00,1005.40,0.00,100.00,0.00,0.00,4.90,342.90
2018,10,29,05,00,11.67,84.00,1005.70,0.00,7.50,0.00,0.00,5.76,360.00
2018,10,29,06,00,10.58,84.00,1006.50,0.00,5.10,0.00,0.00,6.03,17.35
2018,10,29,07,00,10.93,90.00,1006.10,0.00,0.90,26.74,6.23,3.98,84.81
2018,10,29,08,00,14.99,88.00,1005.90,0.00,0.60,59.62,120.15,13.28,147.17
2018,10,29,09,00,17.64,76.00,1005.90,0.00,0.30,59.81,255.43,23.34,160.17
2018,10,29,10,00,19.41,67.00,1005.80,0.00,100.00,0.00,347.99,25.07,167.56
2018,10,29,11,00,18.78,71.00,1005.70,0.00,100.00,0.00,180.67,24.25,161.83
2018,10,29,12,00,19.03,71.00,1005.40,0.00,100.00,0.00,54.29,20.83,161.88
2018,10,29,13,00,20.75,62.00,1004.70,0.00,100.00,0.00,360.45,25.29,155.62
2018,10,29,14,00,21.57,58.00,1005.30,0.00,100.00,0.00,236.74,26.93,171.54
2018,10,29,15,00,21.30,58.00,1004.50,0.00,100.00,0.00,90.78,28.17,169.70
2018,10,29,16,00,21.62,56.00,1005.00,0.00,100.00,0.00,42.72,31.96,165.65
2018,10,29,17,00,18.94,70.00,1005.50,0.00,74.00,9.26,14.24,25.29,155.62
2018,10,29,18,00,18.59,73.00,1003.80,0.00,100.00,0.00,0.00,27.08,144.20
2018,10,29,19,00,18.20,72.00,1002.90,0.00,30.00,0.00,0.00,28.67,141.12
2018,10,29,20,00,17.62,74.00,1003.70,0.00,30.00,0.00,0.00,29.26,145.53
2018,10,29,21,00,17.68,74.00,1002.90,0.00,30.00,0.00,0.00,27.30,138.74
2018,10,29,22,00,17.89,69.00,1002.10,0.00,30.00,0.00,0.00,26.49,137.20
2018,10,29,23,00,17.89,61.00,1001.20,0.00,23.10,0.00,0.00,29.76,145.35
2018,10,30,00,00,17.57,58.00,1000.90,0.00,7.80,0.00,0.00,32.97,148.39
2018,10,30,01,00,17.64,54.00,1001.60,0.00,100.00,0.00,0.00,35.42,153.43
2018,10,30,02,00,17.87,53.00,1001.40,0.00,100.00,0.00,0.00,38.24,157.30
2018,10,30,03,00,15.58,74.00,1001.80,1.20,100.00,0.00,0.00,38.99,151.31
2018,10,30,04,00,15.64,75.00,1003.10,0.20,100.00,0.00,0.00,30.41,173.88
2018,10,30,05,00,14.88,65.00,1003.40,0.00,100.00,0.00,0.00,28.05,171.14
2018,10,30,06,00,14.40,70.00,1004.40,0.00,100.00,0.00,0.00,27.10,163.01
2018,10,30,07,00,13.89,72.00,1004.20,0.00,100.00,0.00,2.67,29.28,163.57
2018,10,30,08,00,13.56,73.00,1005.40,0.00,0.00,60.00,95.23,30.72,169.88
2018,10,30,09,00,14.85,62.00,1005.80,0.00,0.00,60.00,248.31,38.70,167.64
2018,10,30,10,00,15.59,57.00,1005.00,0.00,0.00,60.00,361.34,45.06,167.07
2018,10,30,11,00,16.56,51.00,1005.50,0.00,0.00,60.00,429.87,46.40,170.17
2018,10,30,12,00,17.23,47.00,1005.70,0.00,0.00,60.00,458.35,44.30,172.53
2018,10,30,13,00,18.12,43.00,1005.80,0.00,0.00,60.00,442.33,33.40,187.43
2018,10,30,14,00,18.35,43.00,1006.90,0.00,0.00,60.00,379.14,33.15,188.75
2018,10,30,15,00,18.15,44.00,1007.70,0.00,0.00,60.00,277.68,32.81,183.14
2018,10,30,16,00,17.44,46.00,1008.40,0.00,0.00,60.00,146.85,29.93,183.45
2018,10,30,17,00,16.34,50.00,1009.90,0.00,0.00,41.86,20.47,26.30,182.35
2018,10,30,18,00,15.27,54.00,1010.70,0.00,0.00,0.00,0.00,23.80,176.53
2018,10,30,19,00,14.38,58.00,1011.00,0.00,0.00,0.00,0.00,24.14,177.44
2018,10,30,20,00,13.60,60.00,1012.00,0.00,1.50,0.00,0.00,23.05,178.21
2018,10,30,21,00,12.75,62.00,1013.30,0.00,2.10,0.00,0.00,19.44,180.00
2018,10,30,22,00,11.76,66.00,1014.20,0.00,0.00,0.00,0.00,13.00,175.24
2018,10,30,23,00,10.79,71.00,1014.80,0.00,0.00,0.00,0.00,10.66,168.31
2018,10,31,00,00,9.97,75.00,1015.70,0.00,0.00,0.00,0.00,7.57,177.27
2018,10,31,01,00,9.30,78.00,1017.10,0.00,0.00,0.00,0.00,5.77,183.58
2018,10,31,02,00,8.61,82.00,1018.10,0.00,0.00,0.00,0.00,4.10,195.26
2018,10,31,03,00,8.08,85.00,1018.80,0.00,0.00,0.00,0.00,3.24,180.00
2018,10,31,04,00,7.56,89.00,1019.00,0.00,3.90,0.00,0.00,3.26,186.34
2018,10,31,05,00,7.39,89.00,1019.90,0.00,3.00,0.00,0.00,1.30,213.69
2018,10,31,06,00,7.38,88.00,1020.50,0.00,0.30,0.00,0.00,0.36,360.00
2018,10,31,07,00,7.01,91.00,1021.20,0.00,0.90,23.67,4.45,3.05,45.00
2018,10,31,08,00,7.84,88.00,1022.10,0.00,5.00,56.81,114.81,2.41,63.43
2018,10,31,09,00,9.40,81.00,1022.40,0.00,3.90,57.51,253.65,3.24,90.00
2018,10,31,10,00,11.97,70.00,1022.60,0.00,4.80,56.94,362.23,7.73,117.76
2018,10,31,11,00,15.01,58.00,1021.80,0.00,4.80,56.94,430.76,14.29,139.09
2018,10,31,12,00,16.85,50.00,1021.20,0.00,3.30,57.89,459.24,22.71,154.65
2018,10,31,13,00,17.55,48.00,1020.30,0.00,3.30,57.89,442.33,22.54,153.43
2018,10,31,14,00,17.80,49.00,1020.30,0.00,3.60,57.70,383.59,26.05,168.85
2018,10,31,15,00,18.17,47.00,1020.20,0.00,3.30,57.89,285.69,25.85,167.12
2018,10,31,16,00,17.65,46.00,1020.10,0.00,4.20,57.32,155.75,26.31,163.30
2018,10,31,17,00,16.39,50.00,1020.90,0.00,4.80,38.16,22.25,23.68,160.46
2018,10,31,18,00,15.23,56.00,1021.20,0.00,4.20,0.00,0.00,22.09,160.97
2018,10,31,19,00,14.33,62.00,1020.80,0.00,4.20,0.00,0.00,20.87,165.00
2018,10,31,20,00,13.59,66.00,1021.90,0.00,4.20,0.00,0.00,18.86,166.76
2018,10,31,21,00,13.01,70.00,1022.80,0.00,8.10,0.00,0.00,16.87,168.93
2018,10,31,22,00,12.25,75.00,1022.80,0.00,0.60,0.00,0.00,13.55,163.01
2018,10,31,23,00,10.95,82.00,1022.70,0.00,0.00,0.00,0.00,9.59,145.71
2018,11,01,00,00,9.76,90.00,1022.70,0.00,0.00,0.00,0.00,7.64,135.00
2018,11,01,01,00,9.16,93.00,1022.50,0.00,0.00,0.00,0.00,7.64,135.00
2018,11,01,02,00,8.70,95.00,1022.40,0.00,0.60,0.00,0.00,8.71,141.71
2018,11,01,03,00,8.40,95.00,1021.90,0.00,7.00,0.00,0.00,10.99,148.39
2018,11,01,04,00,8.18,95.00,1021.70,0.00,79.00,0.00,0.00,12.41,150.46
2018,11,01,05,00,7.87,94.00,1021.50,0.00,21.00,0.00,0.00,12.39,144.46
2018,11,01,06,00,7.47,95.00,1021.50,0.00,100.00,0.00,0.00,13.55,140.39
2018,11,01,07,00,7.36,94.00,1021.30,0.00,100.00,0.00,3.56,13.61,142.52
2018,11,01,08,00,8.75,88.00,1021.10,0.00,21.00,46.60,105.02,14.02,138.12
2018,11,01,09,00,12.32,74.00,1020.30,0.00,38.00,35.74,242.08,18.12,139.03
2018,11,01,10,00,15.30,63.00,1019.90,0.00,30.00,40.85,338.20,22.39,143.50
2018,11,01,11,00,17.41,53.00,1019.60,0.00,27.00,42.77,412.96,26.18,148.50
2018,11,01,12,00,19.01,46.00,1018.80,0.00,100.00,0.00,430.76,27.87,151.45
2018,11,01,13,00,18.00,54.00,1018.30,0.00,100.00,0.00,172.66,25.15,170.94
2018,11,01,14,00,18.75,52.00,1018.50,0.00,100.00,0.00,165.54,22.90,163.56
