,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Luftemissionsart CO2,16801097,17666353,14959294,15249144,15020915,11302151,11417144,11483555,10632968,10343532,10024081,10301099,9983864,10891123,11155318,11452679,11794352,13830948,13075356,12863401,13246877,13043323
Luftemissionsart CH4,1465896,1464179,1426168,1410791,1409089,1373486,1387823,1338565,1322930,1285762,1283166,1254745,1257036,1278679,1284732,1275665,1266943,1279095,1296468,1306044,1299825,1286641
Luftemissionsart N2O,97980,98115,97920,98478,101054,101911,100060,96854,95405,98170,97088,96486,93973,99978,96682,95910,101147,99556,101195,103935,105384,102608
Luftemissionsart NOX,177694,179020,175509,176032,181167,183899,176952,172494,169856,168641,165618,164320,157901,166592,158749,160141,169577,165539,165569,167359,173440,167097
Luftemissionsart SO2,14471,13875,9439,6470,7602,3907,4003,3382,2422,1995,1764,1956,1750,2210,1531,1811,1792,3347,1978,2073,2217,2192
Luftemissionsart NMVOC,249524,248287,242548,238694,237212,231183,232276,224898,219680,216036,213080,208901,209602,213439,213612,210021,209253,212353,216554,218041,214626,211465
Luftemissionsart NH3,636611,639954,633180,638690,645137,595226,603783,590375,588819,579764,580779,580865,586365,592824,607553,588539,618789,607822,624848,627189,636964,629309
Luftemissionsart Feinst10,50767,51189,51584,51580,51025,39549,39291,38864,38141,37809,37297,36909,37221,37773,37511,36791,37057,37252,37564,37381,36866,36337
Luftemissionsart HFC,0,0,0,0,0,30,35,40,47,53,60,67,66,71,81,86,91,98,104,99,104,104
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,492779,462774,1246367,473786,458240,403929,315047,329857,369013,385370,397651,419139,501239,386759,284789,311696,311658,220877,399371,236823,350697,348046
Luftemissionsart CH4,1105,1072,1081,1090,1000,1223,991,1011,1086,1123,1162,1195,1359,1081,598,625,508,107,86,93,365,376
Luftemissionsart N2O,7,7,12,7,7,9,7,7,8,9,10,10,13,10,9,10,11,9,10,10,12,12
Luftemissionsart NOX,2093,2061,2562,2202,2332,2782,2159,2229,2467,2518,2520,2578,2933,2111,1783,1807,1772,1342,1284,1232,1269,1124
Luftemissionsart SO2,134,74,62,38,39,46,30,7,2,2,2,2,3,2,2,2,2,1,1,1,2,2
Luftemissionsart NMVOC,14869,14419,14525,14658,13469,16454,13316,13581,14590,15074,15588,16024,18212,14469,8034,8400,6836,1497,1210,1293,4914,5059
Luftemissionsart NH3,1,1,4,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2
Luftemissionsart Feinst10,404,384,382,378,367,426,331,333,356,361,363,369,418,322,214,222,215,112,109,108,215,212
Luftemissionsart HFC,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,3,4,4,4,5,5,5
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,54261,53700,51894,51826,52134,53110,52696,50310,50650,52422,52757,52727,54328,54930,57621,56466,52602,49401,49724,48750,59765,101754
Luftemissionsart CH4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Luftemissionsart N2O,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4
Luftemissionsart NOX,678,669,642,639,647,671,666,636,619,628,614,597,612,605,602,588,548,521,516,557,634,1247
Luftemissionsart SO2,258,253,218,193,170,148,122,116,113,115,113,101,104,81,46,42,37,32,30,31,24,47
Luftemissionsart NMVOC,37,36,34,34,34,32,31,30,29,29,28,28,28,28,27,27,25,24,24,26,29,58
Luftemissionsart NH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart Feinst10,248,245,210,185,162,90,74,71,69,70,69,63,65,50,29,26,23,22,22,23,25,46
Luftemissionsart HFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,1752124,1874657,1515425,1191846,1059279,1037175,956969,917529,1328719,1404213,1440366,1494158,1421953,1478615,1353120,1398209,3004642,761288,794248,843333,782170,785172
Luftemissionsart CH4,772889,735084,725898,628596,683773,662952,576009,540141,475118,373290,303306,234423,193013,181671,135012,135087,127870,162560,141251,110121,121948,97512
Luftemissionsart N2O,15,23,13,6,5,4,4,4,10,10,10,10,10,11,12,11,32,3,3,3,3,3
Luftemissionsart NOX,1762,2094,1594,1242,1205,1137,1101,1041,1355,1354,1354,1356,1359,1349,1307,1204,2344,627,564,550,524,505
Luftemissionsart SO2,3135,4052,2681,1806,1624,1554,1427,1367,1778,1771,1768,1729,1682,1695,1603,1568,3060,1014,989,1068,1054,1063
Luftemissionsart NMVOC,2153,1994,1841,1653,1349,1372,1119,1031,1023,1012,929,861,862,842,701,827,860,795,815,856,858,913
Luftemissionsart NH3,11,13,10,7,6,6,5,4,5,5,5,5,6,5,6,4,7,3,3,3,3,3
Luftemissionsart Feinst10,6190,6003,5487,5030,4823,5023,5094,5216,5144,5229,5094,5014,5087,4924,4731,4740,4982,5140,5058,4936,4918,4724
Luftemissionsart HFC,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,2936879,3346457,3202801,3189842,3267106,3027231,2977175,2842555,2362055,2288231,4022225,3109417,2690116,2390500,1940079,2216902,1964010,1846164,1885064,1608965,1487424,1427645
Luftemissionsart CH4,7847,8233,8048,7069,7312,7258,7202,6673,5535,5146,5016,3692,3050,3315,3476,2151,2060,2678,2407,1997,1415,985
Luftemissionsart N2O,14,17,15,16,16,15,14,13,7,8,27,16,13,10,5,10,6,5,6,6,6,6
Luftemissionsart NOX,1418,1605,1511,1534,1538,1511,1464,1344,899,930,2260,1490,1180,947,588,874,565,547,547,519,457,452
Luftemissionsart SO2,332,307,329,265,202,336,353,339,255,188,178,171,115,124,134,111,143,106,100,103,95,79
Luftemissionsart NMVOC,925,995,973,841,1116,1087,1026,1065,830,624,570,413,336,387,337,211,242,222,230,239,195,194
Luftemissionsart NH3,3,4,4,4,4,4,4,3,2,2,7,4,3,2,1,2,1,1,1,1,1,1
Luftemissionsart Feinst10,25,24,24,23,23,22,22,21,20,20,20,18,17,15,14,13,12,15,15,12,10,9
Luftemissionsart HFC,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,1747172,1395596,1160095,1160940,1236175,1111256,1203659,1120386,935145,1633306,1017767,912110,906325,1156754,995092,870973,763768,671200,782069,740173,822091,766745
Luftemissionsart CH4,94,74,47,46,49,44,47,45,38,58,46,46,43,62,56,50,38,33,45,40,46,41
Luftemissionsart N2O,2221,2107,2002,1898,1794,1684,1590,1390,1191,1038,805,817,768,705,672,648,633,592,555,525,549,567
Luftemissionsart NOX,2634,2180,1946,1953,2046,1879,2226,2145,1912,2648,1848,1707,1667,1817,1698,1535,1392,1340,1445,1368,1419,1317
Luftemissionsart SO2,2216,1140,1985,1892,1818,1171,1457,1394,1025,3218,1530,1128,1268,1369,1525,942,1087,852,971,1023,967,892
Luftemissionsart NMVOC,158,134,133,126,128,110,141,135,124,144,103,93,88,96,100,90,75,70,72,70,93,86
Luftemissionsart NH3,17,16,15,13,14,13,14,12,12,14,13,11,11,13,10,9,7,7,7,7,8,8
Luftemissionsart Feinst10,15493,15070,14945,14639,15344,14768,13713,13016,12817,12105,11628,12112,11775,11528,10375,10415,11416,10886,10830,10970,10346,10670
Luftemissionsart HFC,0,0,0,0,0,2,2,3,2,3,3,3,3,3,2,2,2,2,3,3,3,3
Luftemissionsart PFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,11382261,11653964,11153525,11131102,10926456,10591299,10909801,10434484,10264780,10063763,9522565,10032999,9838290,9044528,9139931,9687305,9100284,9224324,8980390,9177152,8814381,7820151
Luftemissionsart CH4,764,778,770,781,776,740,748,708,654,707,749,760,738,688,738,769,739,740,765,816,787,706
Luftemissionsart N2O,214,214,208,205,193,188,195,187,186,184,171,177,171,160,169,177,169,170,162,172,163,138
Luftemissionsart NOX,15300,15086,14556,14426,14061,13548,13905,13779,13912,13293,12696,12674,12114,11191,11113,11465,10528,10196,9553,9368,8484,7443
Luftemissionsart SO2,16289,15803,13811,12915,11463,10540,11163,8273,7481,7289,5513,5555,5002,4471,4130,3593,3657,3622,2940,3135,2942,2430
Luftemissionsart NMVOC,16945,17034,15632,14703,15061,14435,13601,14087,14260,15254,14734,14420,14330,14420,14896,14341,15303,15770,15023,15421,15047,15233
Luftemissionsart NH3,193,189,176,176,155,147,157,143,132,117,113,117,104,98,92,90,76,80,73,67,62,58
Luftemissionsart Feinst10,983,973,933,842,875,816,768,889,909,966,889,831,791,722,761,730,749,768,655,725,613,608
Luftemissionsart HFC,0,0,0,0,0,458,538,584,627,669,702,730,741,783,836,917,982,1016,1017,1041,1054,1062
Luftemissionsart PFC,0,0,0,0,0,1,1,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0
Luftemissionsart SF6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luftemissionsart CO2,2423522,2396755,2235943,2094357,1865226,1775824,1730665,1525716,1773210,1497786,1525941,1295903,1280659,1059134,906019,862476,819568,794348,828259,845137,828698,709614
Luftemissionsart CH4,174,173,161,152,137,130,124,112,116,110,120,110,98,83,78,77,75,69,70,70,69,59
Luftemissionsart N2O,44,43,42,36,33,30,32,23,30,26,26,23,23,20,17,16,13,12,15,15,15,12
Luftemissionsart NOX,2920,2854,2691,2511,2296,2169,2129,1873,2096,1813,1831,1629,1558,1314,1162,1099,999,899,899,997,899,781
